Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",D_SOD-123,64,1N4148W,
S1,MX_PCB_1.00u,1,ESC,
S10,MX_PCB_1.00u,1,9,
S11,MX_PCB_1.00u,1,0,
S12,MX_PCB_1.00u,1,MINUS,
S13,MX_PCB_1.00u,1,EQUALS,
S14,MX_PCB_2.00u,1,BACKSPACE,
S15,MX_PCB_1.50u,1,TAB,
S16,MX_PCB_1.00u,1,Q,
S17,MX_PCB_1.00u,1,W,
S18,MX_PCB_1.00u,1,E,
S19,MX_PCB_1.00u,1,R,
S2,MX_PCB_1.00u,1,1,
S20,MX_PCB_1.00u,1,T,
S21,MX_PCB_1.00u,1,Y,
S22,MX_PCB_1.00u,1,U,
S23,MX_PCB_1.00u,1,I,
S24,MX_PCB_1.00u,1,O,
S25,MX_PCB_1.00u,1,P,
S26,MX_PCB_1.00u,1,L_BRACKET,
S27,MX_PCB_1.00u,1,R_BRACKET,
S28,MX_PCB_1.50u,1,BACKSLASH,
S29,MX_PCB_1.75u,1,CAPS,
S3,MX_PCB_1.00u,1,2,
S30,MX_PCB_1.00u,1,A,
S31,MX_PCB_1.00u,1,S,
S32,MX_PCB_1.00u,1,D,
S33,MX_PCB_1.00u,1,F,
S34,MX_PCB_1.00u,1,G,
S35,MX_PCB_1.00u,1,H,
S36,MX_PCB_1.00u,1,J,
S37,MX_PCB_1.00u,1,K,
S38,MX_PCB_1.00u,1,L,
S39,MX_PCB_1.00u,1,SEMICOLON,
S4,MX_PCB_1.00u,1,3,
S40,MX_PCB_1.00u,1,QUOTE,
S41,MX_PCB_2.25u,1,ENTER,
"S42, S55, S64",MX_PCB_1.00u,3,FUNCTION_BUTTON,
S43,MX_PCB_2.25u,1,L_SHIFT,
S44,MX_PCB_1.00u,1,Z,
S45,MX_PCB_1.00u,1,X,
S46,MX_PCB_1.00u,1,C,
S47,MX_PCB_1.00u,1,V,
S48,MX_PCB_1.00u,1,B,
S49,MX_PCB_1.00u,1,N,
S5,MX_PCB_1.00u,1,4,
S50,MX_PCB_1.00u,1,M,
S51,MX_PCB_1.00u,1,COMMA,
S52,MX_PCB_1.00u,1,PERIOD,
S53,MX_PCB_1.00u,1,FWDSLASH,
S54,MX_PCB_2.75u,1,R_SHIFT,
S56,MX_PCB_1.25u,1,L_CTRL,
S57,MX_PCB_1.25u,1,L_GUI,
S58,MX_PCB_1.25u,1,L_ALT,
S59,MX_PCB_6.25u,1,SPACE,
S6,MX_PCB_1.00u,1,5,
S60,MX_PCB_1.25u,1,R_ALT,
S61,MX_PCB_1.25u,1,R_GUI,
S62,MX_PCB_1.25u,1,APP,
S63,MX_PCB_1.25u,1,R_CTRL,
S7,MX_PCB_1.00u,1,6,
S8,MX_PCB_1.00u,1,7,
S9,MX_PCB_1.00u,1,8,
ST1,STAB_MX_P_6.25u,1,STAB_SPACE,
ST2,STAB_MX_P_2.25u,1,STAB_L_SHIFT,
ST3,STAB_MX_P_2.75u,1,STAB_R_SHIFT,
ST4,STAB_MX_P_2.25u,1,STAB_ENTER,
ST5,STAB_MX_P_2u,1,STAB_BACKSPACE,
U1,Adafruit_KB2040,1,~,
