Designator,Mid X,Mid Y,Rotation,Layer
D1,19.05,-9.525,90.0,bottom
D10,190.5,-9.525,90.0,bottom
D11,209.55,-9.525,90.0,bottom
D12,228.6,-9.525,90.0,bottom
D13,247.65,-9.525,90.0,bottom
D14,269.875,-16.66875,90.0,bottom
D15,24.60625,-28.575,90.0,bottom
D16,47.625,-28.575,90.0,bottom
D17,66.675,-28.575,90.0,bottom
D18,85.725,-28.575,90.0,bottom
D19,104.775,-28.575,90.0,bottom
D2,38.1,-9.525,90.0,bottom
D20,123.825,-28.575,90.0,bottom
D21,142.875,-28.575,90.0,bottom
D22,161.925,-28.575,90.0,bottom
D23,180.975,-28.575,90.0,bottom
D24,200.025,-28.575,90.0,bottom
D25,219.075,-28.575,90.0,bottom
D26,238.125,-28.575,90.0,bottom
D27,257.175,-28.575,90.0,bottom
D28,280.9875,-28.575,90.0,bottom
D29,26.19375,-47.625,90.0,bottom
D3,57.15,-9.525,90.0,bottom
D30,52.3875,-47.625,90.0,bottom
D31,71.4375,-47.6875,90.0,bottom
D32,90.4875,-47.6875,90.0,bottom
D33,109.5375,-47.625,90.0,bottom
D34,128.5875,-47.5625,90.0,bottom
D35,147.6375,-47.625,90.0,bottom
D36,166.6875,-47.625,90.0,bottom
D37,185.7375,-47.625,90.0,bottom
D38,204.7875,-47.625,90.0,bottom
D39,223.8375,-47.625,90.0,bottom
D4,76.2,-9.525,90.0,bottom
D40,242.8875,-47.625,90.0,bottom
D41,247.65,-47.625,90.0,bottom
D42,285.75,-47.625,90.0,bottom
D43,38.1,-66.675,90.0,bottom
D44,61.9125,-66.675,90.0,bottom
D45,80.9625,-66.675,90.0,bottom
D46,100.0125,-66.675,90.0,bottom
D47,119.0625,-66.675,90.0,bottom
D48,138.1125,-66.675,90.0,bottom
D49,157.00375,-66.83375,90.0,bottom
D5,95.25,-9.525,90.0,bottom
D50,176.05375,-66.83375,90.0,bottom
D51,195.10375,-66.83375,90.0,bottom
D52,214.15375,-66.83375,90.0,bottom
D53,233.3625,-66.675,90.0,bottom
D54,238.125,-66.675,90.0,bottom
D55,285.75,-66.675,90.0,bottom
D56,23.8125,-85.725,90.0,bottom
D57,47.625,-85.725,90.0,bottom
D58,71.4375,-85.725,90.0,bottom
D59,133.35,-73.9775,90.0,bottom
D6,114.3,-9.525,90.0,bottom
D60,190.5,-85.725,90.0,bottom
D61,214.3125,-85.725,90.0,bottom
D62,238.125,-85.725,90.0,bottom
D63,261.9375,-85.725,90.0,bottom
D64,285.75,-85.725,90.0,bottom
D7,133.35,-9.525,90.0,bottom
D8,152.4,-9.525,90.0,bottom
D9,171.45,-9.525,90.0,bottom
S1,9.525,-7.36,0.0,top
S10,180.975,-7.36,0.0,top
S11,200.025,-7.36,0.0,top
S12,219.075,-7.36,0.0,top
S13,238.125,-7.36,0.0,top
S14,266.7,-7.36,0.0,top
S15,14.2875,-26.41,0.0,top
S16,38.1,-26.41,0.0,top
S17,57.15,-26.41,0.0,top
S18,76.2,-26.41,0.0,top
S19,95.25,-26.41,0.0,top
S2,28.575,-7.36,0.0,top
S20,114.3,-26.41,0.0,top
S21,133.35,-26.41,0.0,top
S22,152.4,-26.41,0.0,top
S23,171.45,-26.41,0.0,top
S24,190.5,-26.41,0.0,top
S25,209.55,-26.41,0.0,top
S26,228.6,-26.41,0.0,top
S27,247.65,-26.41,0.0,top
S28,271.4625,-26.41,0.0,top
S29,16.66875,-45.46,0.0,top
S3,47.625,-7.36,0.0,top
S30,42.8625,-45.46,0.0,top
S31,61.9125,-45.46,0.0,top
S32,80.9625,-45.46,0.0,top
S33,100.0125,-45.46,0.0,top
S34,119.0625,-45.46,0.0,top
S35,138.1125,-45.46,0.0,top
S36,157.1625,-45.46,0.0,top
S37,176.2125,-45.46,0.0,top
S38,195.2625,-45.46,0.0,top
S39,214.3125,-45.46,0.0,top
S4,66.675,-7.36,0.0,top
S40,233.3625,-45.46,0.0,top
S41,264.31875,-45.46,0.0,top
S42,295.275,-45.46,0.0,top
S43,21.43125,-64.51,0.0,top
S44,52.3875,-64.51,0.0,top
S45,71.4375,-64.51,0.0,top
S46,90.4875,-64.51,0.0,top
S47,109.5375,-64.51,0.0,top
S48,128.5875,-64.51,0.0,top
S49,147.6375,-64.51,0.0,top
S5,85.725,-7.36,0.0,top
S50,166.6875,-64.51,0.0,top
S51,185.7375,-64.51,0.0,top
S52,204.7875,-64.51,0.0,top
S53,223.8375,-64.51,0.0,top
S54,259.55625,-64.51,0.0,top
S55,295.275,-64.51,0.0,top
S56,11.90625,-83.56,0.0,top
S57,35.71875,-83.56,0.0,top
S58,59.53125,-83.56,0.0,top
S59,130.96875,-83.56,0.0,top
S6,104.775,-7.36,0.0,top
S60,202.40625,-83.56,0.0,top
S61,226.21875,-83.56,0.0,top
S62,250.03125,-83.56,0.0,top
S63,273.84375,-83.56,0.0,top
S64,295.275,-83.56,0.0,top
S7,123.825,-7.36,0.0,top
S8,142.875,-7.36,0.0,top
S9,161.925,-7.36,0.0,top
U1,294.661496,-17.01,0.0,top
